CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
"Alkalinity, total",Total,373,mg/L,5/1/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,14.26,meq/L,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Manganese,Total Recoverable,0.126,mg/L,6/12/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of anions,Total,12.6,meq/L,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
pH,NA,8.23,None,5/25/2018,2018,5,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Sulfate,Dissolved,231,mg/L,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.38,None,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.62,None,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.58,None,8/20/2018,2018,8,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,1199,uS/cm,5/25/2018,2018,5,21NDHDWQ_WQX-381385,West Park Lake - Deepest
pH,NA,8.92,None,9/29/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,60,mg/L,5/17/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,14.8,mg/L,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,19,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Magnesium,Total Recoverable,57.6,mg/L,7/5/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,141,mg/L,9/11/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,159,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Carbonate,Total,8,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
pH,NA,7.64,None,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,64.2,%,7/24/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Alkalinity, total",Total,312,mg/L,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,4.75,None,2/13/2018,2018,2,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,1751,uS/cm,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Manganese,Total Recoverable,0.186,mg/L,5/1/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,291,mg/L,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.574,meq/L,5/1/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Total dissolved solids,Total,1230,mg/L,9/10/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,-0.184,meq/L,6/26/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.38,None,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,629,uS/cm,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Conductivity,Total,1240,umho/cm,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,9.721,meq/L,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,253,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Conductivity,Total,1440,umho/cm,6/12/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.36,None,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.72,None,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Specific conductance,NA,1349,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
"Alkalinity, total",Total,535,mg/L,6/6/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Calcium,Total Recoverable,51.7,mg/L,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,637,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.6,None,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
pH,Total,8.64,None,7/5/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,2431,uS/cm,2/13/2018,2018,2,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,3.98,None,8/20/2018,2018,8,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Iron,Total Recoverable,0.109,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Chloride,Dissolved,24.8,mg/L,4/25/2018,2018,4,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Conductivity,Total,1270,umho/cm,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
pH,NA,8.55,None,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Sodium,Total Recoverable,47,%,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Magnesium,Total Recoverable,99.2,mg/L,6/21/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,Total,8.63,None,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Dissolved,0.049,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Magnesium,Total Recoverable,53.7,mg/L,7/10/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,81.2,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Sulfate,Dissolved,331,mg/L,8/15/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,664,uS/cm,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,NA,NA,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,130,mg/L,2/13/2018,2018,2,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,1551,uS/cm,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,291,mg/L,6/12/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,4.36,None,9/10/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,65.3,mg/L,9/21/2018,2018,9,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Specific conductance,NA,1749,uS/cm,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
pH,NA,8.49,None,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Bicarbonate,Total,499,mg/L,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,13.21,meq/L,8/23/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,140,mg/L,9/13/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.29,None,2/13/2018,2018,2,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Calcium,Total Recoverable,79.9,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1741,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Aluminum,Total Recoverable,74,ug/L,6/21/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of anions,Total,20.26,meq/L,7/16/2018,2018,7,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Specific conductance,NA,1597,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Sulfate,Dissolved,493,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Conductivity,Total,1390,umho/cm,5/23/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,22.42,meq/L,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.83,%,8/7/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,9.01,None,9/10/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,524,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,15.5,mg/L,8/27/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,37.9,%,5/17/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,141,mg/L,6/12/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Manganese,Dissolved,0.039,mg/L,6/4/2018,2018,6,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,1180,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,3.06,None,6/26/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Magnesium,Total Recoverable,51.2,mg/L,8/23/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Magnesium,Total Recoverable,51,mg/L,9/11/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,85.5,mg/L,9/29/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.214,mg/L,8/27/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Aluminum,Total Recoverable,938,ug/L,8/7/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Cations-Anions,Total,0.004,meq/L,4/25/2018,2018,4,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Carbonate,Total,7,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Sodium,Total Recoverable,154,mg/L,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,19.36,meq/L,8/20/2018,2018,8,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,675,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,615,mg/L,7/18/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Cations-Anions,Total,0.703,meq/L,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Dissolved,NA,NA,6/4/2018,2018,6,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Iron,Total Recoverable,NA,NA,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Magnesium,Total Recoverable,50,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,5.77,mg/L,6/26/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,671,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,NA,NA,7/16/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Alkalinity, total",Total,149,mg/L,4/25/2018,2018,4,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
pH,NA,8.52,None,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
"Alkalinity, total",Total,250,mg/L,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,464,mg/L,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1420,umho/cm,7/26/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,23,mg/L,8/7/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.332,meq/L,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Selenium,Total Recoverable,NA,NA,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Specific conductance,NA,1248,uS/cm,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.99,None,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Bicarbonate,Total,281,mg/L,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,675,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.02,None,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,518,mg/L,7/5/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,35.9,%,7/16/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,661,uS/cm,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,0.528,meq/L,9/10/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,52.8,mg/L,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Cations-Anions,Total,-3.97,%,5/21/2018,2018,5,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Selenium,Total Recoverable,NA,NA,5/25/2018,2018,5,21NDHDWQ_WQX-381385,West Park Lake - Deepest
"Alkalinity, total",Total,253,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Sulfate,Dissolved,531,mg/L,9/29/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,6/7/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.797,meq/L,7/26/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,547,mg/L,6/28/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,1434,uS/cm,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
pH,NA,8.1,None,10/16/2018,2018,10,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,642,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,0.305,meq/L,9/18/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,17.9,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
pH,NA,8.29,None,5/25/2018,2018,5,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Iron,Total Recoverable,NA,NA,5/29/2018,2018,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,90.6,mg/L,5/29/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,639,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Manganese,Total Recoverable,0.056,mg/L,8/27/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.22,None,6/4/2018,2018,6,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Specific conductance,NA,1162,uS/cm,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Cations-Anions,Total,0.886,meq/L,8/23/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Selenium,Dissolved,NA,NA,5/21/2018,2018,5,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Magnesium,Total Recoverable,41.6,mg/L,6/28/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,319,mg/L,8/7/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,332,mg/L,8/23/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Manganese,Total Recoverable,0.024,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Conductivity,Total,1180,umho/cm,8/7/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of anions,Total,14.23,meq/L,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,324,mg/L,9/18/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sodium,Total Recoverable,38,%,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,Total,8.31,None,9/20/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Zinc,Total Recoverable,NA,NA,9/18/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.92,None,9/29/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,736,mg/L,6/26/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,9.01,None,9/10/2018,2018,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,637,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,53.7,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Conductivity,Total,1180,umho/cm,9/11/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Zinc,Total Recoverable,NA,NA,5/25/2018,2018,5,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
Specific conductance,NA,940,uS/cm,6/7/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,233,mg/L,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Aluminum,Total Recoverable,NA,NA,7/16/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Aluminum,Total Recoverable,NA,NA,7/10/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,940,uS/cm,6/7/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.213,meq/L,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Specific conductance,NA,1434,uS/cm,5/25/2018,2018,5,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Calcium,Total Recoverable,57.9,mg/L,6/7/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1597,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
pH,Total,7.98,None,4/26/2018,2018,4,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.71,None,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Selenium,Total Recoverable,NA,NA,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Sum of cations,Total,18.08,meq/L,7/24/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Manganese,Total Recoverable,1.27,mg/L,6/7/2018,2018,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,304,mg/L,7/18/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,21.86,meq/L,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Sulfate,Dissolved,323,mg/L,9/11/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Cations-Anions,Total,0.894,meq/L,8/7/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,43.4,mg/L,4/26/2018,2018,4,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Magnesium,Total Recoverable,98.9,mg/L,7/18/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Carbonate,Total,NA,NA,5/4/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,1604,uS/cm,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
pH,NA,7.43,None,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,13.78,meq/L,8/7/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Total dissolved solids,Total,807,mg/L,5/7/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Sum of cations,Total,10.32,meq/L,5/21/2018,2018,5,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Sodium,Dissolved,129,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.66,None,6/12/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,Total,8.69,None,8/7/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1430,umho/cm,5/29/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Specific conductance,NA,1528,uS/cm,9/21/2018,2018,9,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
pH,NA,8.95,None,8/7/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Dissolved,310,ug/L,4/25/2018,2018,4,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Zinc,Total Recoverable,NA,NA,6/6/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
"Hardness, carbonate",Total,324,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Aluminum,Total Recoverable,252,ug/L,8/15/2018,2018,8,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.3,None,5/25/2018,2018,5,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Specific conductance,NA,670,uS/cm,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.41,None,8/14/2018,2018,8,21NDHDWQ_WQX-382003,Lake Sakakawea
"Hardness, carbonate",Total,539,mg/L,5/29/2018,2018,5,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Chloride,Dissolved,17.8,mg/L,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
pH,NA,8.43,None,7/16/2018,2018,7,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Zinc,Total Recoverable,NA,NA,7/24/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Bicarbonate,Total,375,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,48.8,mg/L,9/18/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.96,None,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1751,uS/cm,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Specific conductance,NA,1248,uS/cm,9/24/2018,2018,9,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Zinc,Total Recoverable,NA,NA,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.57,None,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Conductivity,Total,1580,umho/cm,7/24/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Selenium,Total Recoverable,NA,NA,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Carbonate,Total,16,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Conductivity,Total,1190,umho/cm,7/10/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,77.8,mg/L,8/20/2018,2018,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,41,%,7/16/2018,2018,7,21NDHDWQ_WQX-381380,East Park Lake - Deepest
Carbonate,Total,NA,NA,7/24/2018,2018,7,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
Magnesium,Total Recoverable,57.3,mg/L,5/25/2018,2018,5,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Selenium,Dissolved,NA,NA,4/25/2018,2018,4,21NDHDWQ_WQX-385169,Sheyenne River In Lisbon ND
Carbonate,Total,NA,NA,6/21/2018,2018,6,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
pH,NA,8.54,None,9/24/2018,2018,9,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Specific conductance,NA,1749,uS/cm,9/21/2018,2018,9,21NDHDWQ_WQX-381390,New Johns Lake - Deepest
Specific conductance,NA,637,uS/cm,9/14/2018,2018,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,132,mg/L,7/10/2018,2018,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.66,None,7/16/2018,2018,7,21NDHDWQ_WQX-381385,West Park Lake - Deepest
Sulfate,Dissolved,629,mg/L,7/16/2018,2018,7,21NDHDWQ_WQX-381395,Heckers Lake - Deepest
"Alkalinity, total",Total,269,mg/L,9/11/2018,2018,9,21NDHDWQ_WQX-385549,Turtle Creek-Above Turtle Lake
