CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
"Hardness, carbonate",Total,546,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,724,uS/cm,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,990,uS/cm,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,115,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1900,umho/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2048,uS/cm,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1018,uS/cm,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.76,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.81,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,77.5,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,0.33,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,408,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1057,uS/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.88,None,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,37.8,%,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,17.1,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,23,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.04,None,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1923,uS/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,9.532,meq/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
